Tacjusz;Iliasz
Apollo;Slepokora
Olech;Malyszyn
Bertram;Mo³owicki
Franciszek Salezy;Dobosek
Sebald;Zabuga
Bogdan;Jerzó³kowski
S¹dos³aw;Dresla
Eudoksjusz;Gostêbska
Naczes³aw;Garuszyñska
Zbygniew;Wszêdyba³
Cyrus;Orysek
¯elis³aw;Puszczyñski
Benignus;Narzymski
¯yros³aw;Stanawski
Zbyszko;S³u¿a³y
Donat;Maca³ajtis
Krzesis³aw;Zamarski
Przes³aw;Winklew
Jan Gwalbert;Pyrak
Otto;Keune
Prochor;Piatnoczka
Aron;Potorski
Stronis³aw;Fedorowiat
Cyprian;Zalostowicz
Grzymis³aw;Su³uj
Karp;Szelongowski
Artemon;Bystrzejewski
Jan;Droidziel
Sulirad;Zniszczo³
Dorian;Siewrusewicz
Przybyrad;Jurd
Jerzy;Fr¹nk
Józefat;Ciuæman
Gracjan;Paœcik
Zdzis³aw;Rogojsz
Germanik;Gumianiak
Rufus;Grundzach
Balbin;Szylniczuk
Soter;Chempel
Barnabasz;Preda
Eryk;Ponizy
W³odzis³aw;Mamiêcka
Lutomys³;Szapawalik
Leopold;Wilner
Dariusz;Fotowicz
Alban;Ogodniczak
Wiêcemi³;Dombrowa
Fabrycy;Balog
Benon;Kasparewicz
Zdzis³aw;Klugowski
Cecyliusz;Mismer
Kleofas;Momgia³o
Goœciwit;Dzier¿añska
Micha³;Dziakonow
Lucjol;Gniatczyñski
Tymon;Jerwarz
Sebastian;Misiunkiewicz
Wyszomir;Schróttke
Olech;Scientek
Prosper;Oberda
Wolmar;Kindrasz
Gedeon;Matysik
Korneli;Szaja
£êkomir;Lecht
Klementyn;Chrobaczek
Siemiodrog;No¿yc
Cecyl;Sztokmañski
Tomir;Chwalernik
Longinus;Œwidrydowicz
Œcibor;Daukszys
Justynian;Bucki
Witalis;Lesoweñska
Niegomir;Hamert
Bolemir;Strempski
Konstans;Ciszter
Demetriusz;Go³êdek
Herakliusz;Pawlusiuk
Torpet;Kubuk
Dobrowit;Dobrodziejski
Horacjusz;Miszak
Kazimierz;Klejnszmid
Nicefor;Miêsicka
Sobies³aw;Drynk
Cecyliusz;Sze³êga
Honorat;¯elech
Wilhelm;Celujka
Benignus;Dubyniak
Ernest;Filiksiak
Gabriel;Bejenkowski
Marcjal;Go³owanow
Bonifacy;Fortaœ
Dorian;Szubring
Wiktor;Bigu³a
Dawid;Œcierka
Wolfgang;Reinhald
Albert;Magusson
Gerhard;Hasa
Germanik;Maruczyñski
Walerian;Bêczalski
Maur;Dzienkiewicz
Wilibald;Szmelak
Blizbor;Goden
Atanazy;Widliñski
Liboriusz;Siegmundczyk
Emil;Kuchnowski
Ewald;Kruœ
Drogomir;Miêta
Herkulan;Peiteler
Pantaleon;Dworniszak
Myœlibor;Bietrucha
Klaudiusz;Brykalik
Wiêczys³aw;Adamoñska
Siecies³aw;Pellowski
Jeremiasz;Halowicz
Amos;Schiwok
Jan Gwalbert;Szmitz
Rodryk;Marchu³
Dad¹bog;Budzyñski
Auksencjusz;Ko³odziejczuk
Mœcibor;Szerlewska
Makary;Wiesza³ka
Harasym;S³adka
Klementyn;Federmann
Siemomys³;Stasikiewicz
Kilian;Grynaszko
Emilian;Chorawska
Zacheusz;Frauczak
Taras;Cyglerski
Donald;Welzman
Prot;Mateblowski
Helmut;Naczko
Jakub;Jórga
Arseniusz;Zezun
Kondrad;Bierzin
RenÃƒÂ©;M³odozeniec
Amin;Doros³awski
£ucjan;Szl¹zkiewicz
Ksenofont;Parlasz
Mokij;Tabako
Wadim;Nadarkiewicz
Kacper;Wierkun
Tadeusz;Skrzydko
Otomar;Glejzow
Radomir;Frueauf
Ananiasz;Stokrocki
Têgomir;Ceranic
Zbros³aw;Gragorkiewicz
Witold;Behm
W³odzis³aw;Skrenik
Apollo;Grunczyk
Pawe³;Dmytryszyn
Wilhelm;Ciesielczak
Têgomir;Boszewska
Pudens;Ta³añczyk
Euchariusz;Korzeja
Siemis³aw;Dancyg
Miron;Redmerski
Wojbor;Sepliñska
Wszemi³;Sa³adko
¯ytomir;Pilugin
Czcibor;Ch³opków
Epifan;Pachoñ
Ciechomir;Wêgierkowicz
Paulin;Lisica vel Janicki
Napoleon;Stambuldzys
Wiktoriusz;Radler
Jacenty;Palicewicz
Siemiodrog;Ziobro
Brunon;Folniewicz
Uniewit;Ranoszak
Lambert;Gaclik
Witomi³;Hendzak
Wyszemir;Afanasiec
Gebhard;Stram
Ninogniew;Klopsteg
Œcibor;Glarka
Gawe³;Wrzochul
Wszerad;Anckiewicz
Budzisz;Ma³owieski
Salomon;Narloch
Winicjusz;Bierwieczonek
Œwieciech;Lebiora
Ksenofont;Prois
Tobiasz;Mieszkienas
Gotfryd;Sabady
Robert;Robieniek
Skarbimir;Najman
Krzesis³aw;Murtas
Mœcigniew;Szczukie³
Odo;Makowczenko
Przybyczest;Garlec
Bo¿ywoj;Ginschel
Boguchwa³;Mondlewska
Alf;Po³oz
Beatryks;Gardeñski
Goœciwit;Kalkanidis
Godzis³aw;Bawó³
Sulimierz;Taderowicz
Wojs³aw;Bimerowska
Unis³aw;Siembielec
Dytrych;Spó¿
Terencjusz;Jasionowski vel Jesionow
Harasym;Wardlick
Czech;Zahajka
Benon;Skumna
Domamir;Ko¿uszyn
Rupert;Zahora-Bu³awski
Wilhelm;Gorzandt
Pakos³aw;Kr¹g
Goar;Matowid³o
Gorzys³aw;D¹mbrowski
Andonik;Banarek
Dobronieg;Cwecher
Dobronieg;Stamatel
Lewin;Prz¹stek
Demetriusz;Dretkiewicz
Chwalibóg;Dzi¹k
Uniedrog;Dereszczyñska
Sylwan;Piato
Iwo;Hejkenków
Sylwester;Podjaski
Rupert;Chraniuk
Bolebor;Fajnsztajn
Lucjusz;Graszewicz
Horacjusz;Szaraszewski
Hugon;Fundibryder
Lubos³aw;Biskupek
Sebastian;Pi³czyñski
Wiêczys³aw;Dobroszycki
Bo¿ebor;Œwiatowiec
Bjorn;Siekieryñska
Jozue;Troœciañko
Tadeusz;Bornaœ
Rafa³;Strilciow
Libert;Szel¹gowicz
Wiêcerad;Rozporski
Iwan;Skrok
Dezyderiusz;Posiadek
Zefir;Wabisiak
Wiêczys³aw;So³uszko
Epifani;Rejzerowicz
Moj¿esz;Kur³ej
Fabrycy;Brisse
Grzegorz;Kleækowski
Ninogniew;Œl¹dzak
Jordan;Aftamienko
Dionizy;Szada
Zygmunt;Zientala
Agatonik;Prewêdowska
Dytrych;Smu¿ny
Bronis³aw;Treszczakowski
Tomi³;Ja¿wik
Damazy;Badalewski
Rainer;Kapiczek
Tolis³aw;Czwartoœ
Franciszek;Per³a
Leoncjusz;Mina³to
Celestyn;Gêbuska
Malkolm;Szymoniek
Zefiryn;Freidlich
Borzymir;Heraburda
Chwalibóg;Bojarojc
Dobrociech;Fejszter
Nieznamir;Oksiatycz
Moj¿esz;Krewczyk
Ludomi³;Gorynta
Ageusz;Kancierz
Henryk;Fraœ
Wiêcemi³;G¹sienica-Brzega
Jozafat;Zwolan
Cieszybor;S¹pich
Borys³aw;Stepkiewicz
S³awosz;Abramczyk
Cyryl;Gaulin
Romeo;Kimula
Kurt;Nawarol
Odyseusz;Homentowski
Elizeusz;Freis
Sulirad;Kijanko
Broniwoj;Zelanowicz
Artus;Waese
Sebastian;Piekie³no
Soter;Budzyna
Gilbert;Tep³ycki
Augustyn;Haustow
Pelagiusz;Antycka
Nieznamir;H³adkiewicz
Emilian;Ga³usa
Bogus¹d;Nieœpio³
Ruprecht;DroŸdzikowski
Tyberiusz;Kraka³³o
Elizeusz;Schmalhofor
Cyriak;Roz³uski
Budziwoj;Holzknecht
Dzier¿ymir;Tarnarucka
Aureliusz;¯yrkow
Leodegar;Bitan
Gall;Dalinowska
Nehemiasz;BliŸniec
Laurencjusz;KraŸ
Saul;Ba³ako
Przybyrad;B³azutycz
Eulogiusz;Szramowiak
Ernestyn;Chabermas
Ludos³aw;Aleks
Flawian;£añczuk
Dezyderiusz;Krochowski
Frydolin;Szolnoki
Hieronim;Sobirey
Fides;Kazdrój
Barnabasz;Fantoli
Niegos³aw;Warczykowski
W³adymir;I¿ak
Denis;Biecke
Florentyn;Alifanow
Roch;Gacperski
Zbigniew;Dêbiszewski
Kastor;Garwoliñski
Natanael;Gruttmann
Czes³aw;Bernaœ
Gall;Kislich
Apolinary;Obrêdski
Grodzis³aw;Cieœka
Libert;Grabieszczenko
Herbert;Kaczanka
Domawit;¬wiernik
Gerhard;Zajerski
Jordan;Stuchañczyk
Maksym;Stareñski
Leon;Poradziej
S³awomir;Dunalski
Cieszys³aw;£ubków
Fabian;Drugienicz
Cieszys³aw;Bernacik
Liwiusz;Strzeleczek
Siestrzewit;Intrator
Egon;Zdrojewicz
Mirogniew;Petrucznik
Franciszek Salezy;Czarapan
Jan Chryzostom;Gaj¹czka
Goœciwit;Jachmczyk
¯yros³aw;Bornsztajn
Adalbert;Gêsiejewski
Kanizjusz;Pupczak
Wiêces³aw;Kamiekiewicz
Wieñczys³aw;Ancfal
Tworzys³aw;Ho³owecki
Bonawentura;Foldziñski
Przemi³;Liepke
Florian;Przêczkowski
Roœcimir;Piwny
Tobiasz;Waszceniuk
Angel;Plimkiewicz
Zenobiusz;Paukszte³³o
Godzimierz;Apanczonek
Rafael;Birkenmajer
Wiêcemi³;Tabieñ
Gorgoncjusz;Niemagaj
Torpet;Walosek
Marcjan;Benedict
Brodzis³aw;Pasierbowicz
Reinhold;Piskalczuk
Klaus;Skraboñ
Gwalbert;Nurja
Wenancjusz;Oksientiuk
Ronald;Skarbicha
Leoncjusz;Malarowicz
Eudoksjusz;Gaworecki
Przybymir;Ge³¿yñski
Dziers³aw;Dann
S¹dos³aw;Kurpiasiak
Natalis;Chruœciewicz
Kornel;Jêdziñska
Ananiasz;Wiejakowska
Mieczys³aw;Chrycyna
Bratumi³;Iliaszewski
Wirginiusz;Chañczak
Abdon;Pu³aœ
Roger;Kaœniwska
Radowid;Stêpiowska
Malkolm;Procków
Rajnold;Zotkiewicz
Antym;Moczad³owski
Wolfgang;Drobnowski
Bolemir;Jander
Radek;Jarêbski
Wit;Gojman
Dobros³aw;¯oga
Auksencjusz;Zbiejcik
Gerald;Gardiaœ
Donat;Po³ubienko
Radzis³aw;Danielczak
Sewer;Buchajczuk
Gajusz;Kucbora
Afanazy;Kubœda
Laurenty;Wiêcius
Roderyk;Krzywarzeka
Heliasz;Dunkelman
Olaf;Zmisiewicz
Ambro¿y;Matyjaszewski
Chryzostom;Sztoleman
Longin;Dejczan
Hieronim;Wywiajas
Kanut;Darul
Jakub;Ponag
Zdzibor;£onoszyn
Goœcis³aw;Supe³o
Gwalbert;Hotlaœ
Prot;Orêcka
Sykstus;Walentowski
Ruben;Kocambasi
Godzisz;Niloœ
Auksencjusz;Nizia³ek
Roœcimir;Czeponik
Juliusz;Linda
Roland;Weœniak
Suliwoj;Konotopczyk
Konstancjusz;H³odarczyk
Witomir;Donth
Eudoksjusz;Kuku³o
Siestrzemi³;Guzikiewicz
Jeron;T³uœciok
Dezyderiusz;Lomba
